filename,(C;B;S),P,T,M,AAT
gcc,(15;7;1),14,7,18,4.704
gcc,(15;7;2),14,6,18,4.705
gcc,(15;7;1),14,6,18,4.828
gcc,(15;6;3),14,6,18,4.997
gcc,(15;6;2),14,7,18,4.999
gcc,(15;6;2),14,6,18,5.124
gcc,(15;6;1),14,7,18,5.136
gcc,(15;6;1),14,8,18,5.136
gcc,(15;6;1),14,6,18,5.261
gcc,(15;7;2),13,6,19,5.279
gcc,(14;6;2),14,6,18,5.375
gcc,(15;7;3),14,5,18,5.384
gcc,(15;7;2),14,5,18,5.520
gcc,(15;6;2),13,7,19,5.595
gcc,(15;7;1),14,5,18,5.643
gcc,(14;5;3),14,6,18,5.650
gcc,(15;6;4),14,5,18,5.750
gcc,(15;5;4),14,6,18,5.757
gcc,(15;6;3),14,5,18,5.812
gcc,(15;5;3),14,7,18,5.816
gcc,(15;6;3),13,6,19,5.829
gcc,(14;6;3),14,5,18,5.840
gcc,(15;6;2),13,6,19,5.876
gcc,(15;6;2),14,5,18,5.938
gcc,(15;5;3),14,6,18,5.941
gcc,(14;5;2),14,7,18,5.962
gcc,(15;5;2),14,8,18,6.025
gcc,(15;5;2),14,7,18,6.026
gcc,(15;6;1),14,5,18,6.075
gcc,(14;5;2),14,6,18,6.086
gcc,(14;6;1),14,7,18,6.107
gcc,(15;5;2),14,6,18,6.150
gcc,(14;6;2),13,6,19,6.186
gcc,(14;6;2),14,5,18,6.190
gcc,(14;6;1),14,6,18,6.232
gcc,(14;7;2),14,5,18,6.235
gcc,(15;5;1),14,7,18,6.237
gcc,(15;5;1),14,8,18,6.237
gcc,(15;5;1),14,9,18,6.237
gcc,(14;7;1),14,6,18,6.241
gcc,(14;5;4),14,5,18,6.242
gcc,(15;7;3),13,5,19,6.328
gcc,(15;5;1),14,6,18,6.361
gcc,(15;7;2),13,5,19,6.389
gcc,(15;5;5),14,5,18,6.416
gcc,(14;5;3),14,5,18,6.464
gcc,(15;5;4),14,5,18,6.572
gcc,(14;6;1),13,7,19,6.574
gcc,(14;7;1),13,6,19,6.683
gcc,(15;5;3),14,5,18,6.755
gcc,(15;6;3),12,6,20,6.762
gcc,(14;5;3),13,6,19,6.762
gcc,(15;5;3),13,7,19,6.796
gcc,(15;5;4),13,6,19,6.844
gcc,(14;6;1),13,6,19,6.855
gcc,(15;6;4),13,5,19,6.864
gcc,(15;5;2),13,8,19,6.887
gcc,(14;5;2),14,5,18,6.901
gcc,(15;5;2),13,7,19,6.909
gcc,(15;6;3),13,5,19,6.939
gcc,(14;5;1),14,7,18,6.941
gcc,(14;5;1),14,8,18,6.941
gcc,(15;5;2),14,5,18,6.965
gcc,(14;5;2),13,7,19,6.973
gcc,(15;6;2),13,5,19,6.986
gcc,(14;6;3),13,5,19,6.997
gcc,(14;7;0),14,7,18,7.033
gcc,(14;6;1),14,5,18,7.047
gcc,(14;7;1),14,5,18,7.056
gcc,(14;6;2),12,6,20,7.064
gcc,(14;5;1),14,6,18,7.066
gcc,(15;5;3),13,6,19,7.077
gcc,(14;7;2),13,5,19,7.113
gcc,(14;6;0),14,7,18,7.136
gcc,(14;6;0),14,8,18,7.136
gcc,(14;7;0),14,6,18,7.158
gcc,(15;5;1),14,5,18,7.176
gcc,(15;5;2),13,6,19,7.189
gcc,(15;7;3),12,5,20,7.195
gcc,(14;5;2),13,6,19,7.254
gcc,(14;6;0),14,6,18,7.261
gcc,(14;6;2),13,5,19,7.295
gcc,(14;5;4),13,5,19,7.519
gcc,(14;5;1),13,8,19,7.669
gcc,(15;5;5),13,5,19,7.682
gcc,(14;5;1),13,7,19,7.691
gcc,(13;5;2),13,6,19,7.773
gcc,(14;7;1),13,5,19,7.793
gcc,(15;6;4),12,5,20,7.866
gcc,(14;5;3),13,5,19,7.872
gcc,(14;7;2),12,5,20,7.878
gcc,(14;5;1),14,5,18,7.880
gcc,(15;5;3),12,7,20,7.883
gcc,(14;5;3),12,6,20,7.920
gcc,(15;5;4),13,5,19,7.954
gcc,(14;6;1),13,5,19,7.965
gcc,(14;5;1),13,6,19,7.972
gcc,(14;7;0),14,5,18,7.973
gcc,(14;6;3),12,5,20,7.983
gcc,(15;5;4),12,6,20,7.993
gcc,(15;6;3),12,5,20,8.005
gcc,(13;5;3),13,5,19,8.016
gcc,(14;5;2),12,7,20,8.046
gcc,(14;6;0),14,5,18,8.076
gcc,(14;5;0),14,7,18,8.139
gcc,(14;5;0),14,8,18,8.139
gcc,(14;5;0),14,9,18,8.139
gcc,(15;5;3),13,5,19,8.187
gcc,(13;6;1),13,6,19,8.245
gcc,(14;5;0),14,6,18,8.264
gcc,(13;6;2),13,5,19,8.283
gcc,(15;5;2),13,5,19,8.299
gcc,(14;6;2),12,5,20,8.307
gcc,(15;5;3),12,6,20,8.337
gcc,(14;5;2),13,5,19,8.364
gcc,(14;5;2),12,6,20,8.500
gcc,(14;5;4),12,5,20,8.714
gcc,(13;5;2),12,6,20,8.848
gcc,(13;5;1),13,7,19,8.858
gcc,(15;5;5),12,5,20,8.874
gcc,(13;5;2),13,5,19,8.882
gcc,(13;6;1),12,6,20,8.941
gcc,(14;5;0),14,5,18,9.079
gcc,(14;5;1),13,5,19,9.082
gcc,(13;5;1),13,6,19,9.139
gcc,(13;5;3),12,5,20,9.162
gcc,(14;5;3),12,5,20,9.163
gcc,(13;6;2),12,5,20,9.178
gcc,(15;5;4),12,5,20,9.236
gcc,(13;6;1),13,5,19,9.355
gcc,(15;5;3),12,5,20,9.580
gcc,(13;7;1),13,5,19,9.605
gcc,(13;5;1),12,7,20,9.732
gcc,(14;5;2),12,5,20,9.743
gcc,(13;5;2),12,5,20,10.091
gcc,(13;6;1),12,5,20,10.184
gcc,(13;5;1),12,6,20,10.186
gcc,(13;7;1),12,5,20,10.232
gcc,(13;5;1),13,5,19,10.249
gcc,(12;5;2),12,5,20,10.989
gcc,(13;6;0),13,7,19,11.424
gcc,(13;5;1),12,5,20,11.429
gcc,(13;7;0),13,6,19,11.534
gcc,(13;6;0),13,6,19,11.705
gcc,(12;5;1),12,6,20,11.992
gcc,(13;5;0),13,8,19,12.436
gcc,(13;5;0),13,7,19,12.458
