filename,(C;B;S),P,T,M,AAT
leela,(15;6;1),14,5,18,2.393
leela,(15;6;1),14,6,18,2.393
leela,(15;6;1),14,7,18,2.393
leela,(15;6;1),14,8,18,2.393
leela,(15;7;1),14,5,18,2.433
leela,(15;7;1),14,6,18,2.433
leela,(15;7;1),14,7,18,2.433
leela,(14;7;2),14,5,18,2.451
leela,(15;7;2),14,5,18,2.460
leela,(15;7;2),14,6,18,2.460
leela,(15;5;1),14,5,18,2.464
leela,(15;5;1),14,6,18,2.464
leela,(15;5;1),14,7,18,2.464
leela,(15;5;1),14,8,18,2.464
leela,(15;5;1),14,9,18,2.464
leela,(14;6;2),14,5,18,2.471
leela,(14;6;2),14,6,18,2.471
leela,(15;6;2),14,5,18,2.494
leela,(15;6;2),14,6,18,2.494
leela,(15;6;2),14,7,18,2.494
leela,(14;5;2),14,5,18,2.508
leela,(14;5;2),14,6,18,2.508
leela,(14;5;2),14,7,18,2.508
leela,(15;5;2),14,5,18,2.555
leela,(15;5;2),14,6,18,2.555
leela,(15;5;2),14,7,18,2.555
leela,(15;5;2),14,8,18,2.555
leela,(15;7;2),13,5,19,2.561
leela,(15;7;2),13,6,19,2.561
leela,(15;6;2),13,5,19,2.570
leela,(15;6;2),13,6,19,2.570
leela,(15;6;2),13,7,19,2.570
leela,(14;6;2),13,5,19,2.608
leela,(14;6;2),13,6,19,2.608
leela,(14;5;2),13,5,19,2.624
leela,(14;5;2),13,6,19,2.624
leela,(14;5;2),13,7,19,2.624
leela,(15;5;2),13,5,19,2.634
leela,(15;5;2),13,6,19,2.634
leela,(15;5;2),13,7,19,2.634
leela,(15;5;2),13,8,19,2.634
leela,(15;7;3),14,5,18,2.635
leela,(14;6;3),14,5,18,2.642
leela,(15;7;3),13,5,19,2.648
leela,(14;7;2),13,5,19,2.648
leela,(14;6;3),13,5,19,2.656
leela,(15;6;3),14,5,18,2.658
leela,(15;6;3),14,6,18,2.658
leela,(14;5;1),14,5,18,2.659
leela,(14;5;1),14,6,18,2.659
leela,(14;5;1),14,7,18,2.659
leela,(14;5;1),14,8,18,2.659
leela,(13;5;3),13,5,19,2.666
leela,(14;5;3),14,5,18,2.672
leela,(14;5;3),14,6,18,2.672
