filename,(C;B;S),P,T,M,AAT
linpack,(14;7;2),14,5,18,5.257
linpack,(15;7;3),14,5,18,5.457
linpack,(14;6;3),14,5,18,5.682
linpack,(15;6;4),14,5,18,5.882
linpack,(14;5;4),14,5,18,6.149
linpack,(15;5;5),14,5,18,6.349
linpack,(14;7;1),14,5,18,7.152
linpack,(14;7;1),14,6,18,7.152
linpack,(15;7;2),14,5,18,7.231
linpack,(15;7;2),14,6,18,7.231
linpack,(13;7;1),13,5,19,7.869
linpack,(14;7;2),13,5,19,7.953
linpack,(14;6;2),14,5,18,7.994
linpack,(14;6;2),14,6,18,7.994
linpack,(15;7;3),13,5,19,8.153
linpack,(15;6;3),14,5,18,8.194
linpack,(15;6;3),14,6,18,8.194
linpack,(13;6;2),13,5,19,8.522
linpack,(15;7;1),14,5,18,8.557
linpack,(15;7;1),14,6,18,8.557
linpack,(15;7;1),14,7,18,8.557
linpack,(14;5;3),14,5,18,8.649
linpack,(14;5;3),14,6,18,8.649
linpack,(14;6;3),13,5,19,8.722
linpack,(15;5;4),14,5,18,8.849
linpack,(15;5;4),14,6,18,8.849
linpack,(15;6;4),13,5,19,8.922
linpack,(14;7;0),14,5,18,9.032
linpack,(14;7;0),14,6,18,9.032
linpack,(14;7;0),14,7,18,9.032
linpack,(13;5;3),13,5,19,9.253
linpack,(14;5;4),13,5,19,9.453
linpack,(15;5;5),13,5,19,9.653
linpack,(14;7;1),13,5,19,10.721
linpack,(14;7;1),13,6,19,10.721
linpack,(15;7;2),13,5,19,10.870
linpack,(15;7;2),13,6,19,10.870
linpack,(13;7;1),12,5,20,11.058
linpack,(13;7;0),13,5,19,11.139
linpack,(13;7;0),13,6,19,11.139
linpack,(14;7;2),12,5,20,11.219
linpack,(15;7;3),12,5,20,11.413
linpack,(12;7;0),12,5,20,11.725
linpack,(14;6;1),14,5,18,11.834
linpack,(14;6;1),14,6,18,11.834
linpack,(14;6;1),14,7,18,11.834
linpack,(15;6;2),14,5,18,11.915
linpack,(15;6;2),14,6,18,11.915
linpack,(15;6;2),14,7,18,11.915
linpack,(13;6;1),13,5,19,13.196
linpack,(13;6;1),13,6,19,13.196
linpack,(14;6;2),13,5,19,13.261
linpack,(14;6;2),13,6,19,13.261
linpack,(12;6;1),12,5,20,13.374
linpack,(15;6;3),13,5,19,13.461
linpack,(15;6;3),13,6,19,13.461
linpack,(14;5;2),14,5,18,13.468
linpack,(14;5;2),14,6,18,13.468
linpack,(14;5;2),14,7,18,13.468
linpack,(13;6;2),12,5,20,13.529
linpack,(15;5;3),14,5,18,13.668
linpack,(15;5;3),14,6,18,13.668
linpack,(15;5;3),14,7,18,13.668
linpack,(14;6;3),12,5,20,13.723
linpack,(15;6;4),12,5,20,13.922
linpack,(13;5;2),13,5,19,14.414
linpack,(13;5;2),13,6,19,14.414
linpack,(14;5;3),13,5,19,14.614
linpack,(14;5;3),13,6,19,14.614
linpack,(15;6;1),14,5,18,14.735
linpack,(15;6;1),14,6,18,14.735
linpack,(15;6;1),14,7,18,14.735
linpack,(15;6;1),14,8,18,14.735
linpack,(15;5;4),13,5,19,14.814
linpack,(15;5;4),13,6,19,14.814
linpack,(12;5;2),12,5,20,14.980
linpack,(13;5;3),12,5,20,15.173
linpack,(14;5;4),12,5,20,15.373
linpack,(14;6;0),14,5,18,15.396
linpack,(14;6;0),14,6,18,15.396
linpack,(14;6;0),14,7,18,15.396
linpack,(14;6;0),14,8,18,15.396
linpack,(15;5;5),12,5,20,15.573
linpack,(14;6;1),13,5,19,18.901
linpack,(14;6;1),13,6,19,18.901
linpack,(14;6;1),13,7,19,18.901
linpack,(15;6;2),13,5,19,19.050
linpack,(15;6;2),13,6,19,19.050
linpack,(15;6;2),13,7,19,19.050
linpack,(13;6;0),13,5,19,19.091
linpack,(13;6;0),13,6,19,19.091
linpack,(13;6;0),13,7,19,19.091
linpack,(13;6;1),12,5,20,19.320
linpack,(13;6;1),12,6,20,19.320
linpack,(12;6;0),12,5,20,19.439
linpack,(12;6;0),12,6,20,19.439
linpack,(14;6;2),12,5,20,19.482
linpack,(14;6;2),12,6,20,19.482
linpack,(15;6;3),12,5,20,19.676
linpack,(15;6;3),12,6,20,19.676
linpack,(14;5;1),14,5,18,21.202
linpack,(14;5;1),14,6,18,21.202
linpack,(14;5;1),14,7,18,21.202
linpack,(14;5;1),14,8,18,21.202
linpack,(15;5;2),14,5,18,21.283
linpack,(15;5;2),14,6,18,21.283
linpack,(15;5;2),14,7,18,21.283
linpack,(15;5;2),14,8,18,21.283
linpack,(13;5;1),13,5,19,23.848
linpack,(13;5;1),13,6,19,23.848
linpack,(13;5;1),13,7,19,23.848
linpack,(14;5;2),13,5,19,23.876
linpack,(14;5;2),13,6,19,23.876
linpack,(14;5;2),13,7,19,23.876
linpack,(12;5;1),12,5,20,24.009
linpack,(12;5;1),12,6,20,24.009
linpack,(15;5;3),13,5,19,24.076
linpack,(15;5;3),13,6,19,24.076
linpack,(15;5;3),13,7,19,24.076
linpack,(13;5;2),12,5,20,24.157
linpack,(13;5;2),12,6,20,24.157
linpack,(14;5;3),12,5,20,24.351
linpack,(14;5;3),12,6,20,24.351
linpack,(15;5;4),12,5,20,24.551
linpack,(15;5;4),12,6,20,24.551
linpack,(15;5;1),14,5,18,27.089
linpack,(15;5;1),14,6,18,27.089
linpack,(15;5;1),14,7,18,27.089
linpack,(15;5;1),14,8,18,27.089
linpack,(15;5;1),14,9,18,27.089
linpack,(14;5;0),14,5,18,28.323
linpack,(14;5;0),14,6,18,28.323
linpack,(14;5;0),14,7,18,28.323
linpack,(14;5;0),14,8,18,28.323
linpack,(14;5;0),14,9,18,28.323
linpack,(14;5;1),13,5,19,35.260
linpack,(14;5;1),13,6,19,35.260
linpack,(14;5;1),13,7,19,35.260
linpack,(14;5;1),13,8,19,35.260
linpack,(15;5;2),13,5,19,35.411
linpack,(15;5;2),13,6,19,35.411
linpack,(15;5;2),13,7,19,35.411
linpack,(15;5;2),13,8,19,35.411
linpack,(13;5;0),13,5,19,35.481
linpack,(13;5;0),13,6,19,35.481
linpack,(13;5;0),13,7,19,35.481
linpack,(13;5;0),13,8,19,35.481
linpack,(12;5;0),12,5,20,35.695
linpack,(12;5;0),12,6,20,35.695
linpack,(12;5;0),12,7,20,35.695
