filename,(C;B;S),P,T,M,AAT
matmul_naive,(15;7;3),14,5,18,2.981
matmul_naive,(14;6;3),14,5,18,3.035
matmul_naive,(15;6;3),14,6,18,3.163
matmul_naive,(15;6;3),14,5,18,3.168
matmul_naive,(15;6;4),14,5,18,3.235
matmul_naive,(14;5;3),14,6,18,3.245
matmul_naive,(14;5;3),14,5,18,3.250
matmul_naive,(14;5;4),14,5,18,3.314
matmul_naive,(15;5;4),14,6,18,3.445
matmul_naive,(15;5;4),14,5,18,3.450
matmul_naive,(15;5;3),14,6,18,3.494
matmul_naive,(15;5;3),14,7,18,3.494
matmul_naive,(15;5;3),14,5,18,3.499
matmul_naive,(15;5;5),14,5,18,3.514
matmul_naive,(15;6;4),13,5,19,3.526
matmul_naive,(14;5;4),13,5,19,3.619
matmul_naive,(15;5;5),13,5,19,3.819
matmul_naive,(15;5;4),13,6,19,3.944
matmul_naive,(15;5;4),13,5,19,3.962
matmul_naive,(15;5;5),12,5,20,4.796
matmul_naive,(14;7;2),14,5,18,5.618
matmul_naive,(15;7;2),14,6,18,5.772
matmul_naive,(15;7;2),14,5,18,5.778
matmul_naive,(14;6;2),14,6,18,5.819
matmul_naive,(14;6;2),14,5,18,5.824
matmul_naive,(15;6;2),14,6,18,6.127
matmul_naive,(15;6;2),14,7,18,6.127
matmul_naive,(15;6;2),14,5,18,6.132
matmul_naive,(14;5;2),14,6,18,6.589
matmul_naive,(14;5;2),14,7,18,6.589
matmul_naive,(14;5;2),14,5,18,6.594
matmul_naive,(15;5;2),14,6,18,7.088
matmul_naive,(15;5;2),14,7,18,7.088
matmul_naive,(15;5;2),14,8,18,7.088
matmul_naive,(15;5;2),14,5,18,7.093
matmul_naive,(13;5;3),13,5,19,7.227
matmul_naive,(14;6;3),13,5,19,7.981
matmul_naive,(15;7;3),13,5,19,8.137
matmul_naive,(15;6;3),13,6,19,8.727
matmul_naive,(15;6;3),13,5,19,8.745
matmul_naive,(14;5;3),13,6,19,8.836
matmul_naive,(14;5;3),13,5,19,8.854
matmul_naive,(15;5;3),13,7,19,10.300
matmul_naive,(15;5;3),13,6,19,10.301
matmul_naive,(15;5;3),13,5,19,10.318
matmul_naive,(14;5;4),12,5,20,11.104
matmul_naive,(13;6;2),13,5,19,11.550
matmul_naive,(13;5;2),13,6,19,11.822
matmul_naive,(13;5;2),13,5,19,11.839
matmul_naive,(12;5;2),12,5,20,11.978
matmul_naive,(13;5;3),12,5,20,12.113
matmul_naive,(15;6;4),12,5,20,12.738
matmul_naive,(15;5;4),12,6,20,14.651
matmul_naive,(15;5;4),12,5,20,14.683
matmul_naive,(14;7;1),14,6,18,19.304
matmul_naive,(14;7;1),14,5,18,19.309
matmul_naive,(13;7;1),13,5,19,19.378
matmul_naive,(14;6;1),14,6,18,19.417
matmul_naive,(14;6;1),14,7,18,19.417
matmul_naive,(14;6;1),14,5,18,19.422
matmul_naive,(13;6;1),13,6,19,19.496
matmul_naive,(13;6;1),13,5,19,19.514
matmul_naive,(14;7;2),13,5,19,19.548
matmul_naive,(12;6;1),12,5,20,19.603
matmul_naive,(14;6;2),13,6,19,19.653
matmul_naive,(14;6;2),13,5,19,19.671
matmul_naive,(14;5;1),14,6,18,19.689
matmul_naive,(14;5;1),14,7,18,19.689
matmul_naive,(14;5;1),14,8,18,19.689
matmul_naive,(14;5;1),14,5,18,19.694
matmul_naive,(13;6;2),12,5,20,19.774
matmul_naive,(13;5;1),13,7,19,19.798
matmul_naive,(13;5;1),13,6,19,19.799
matmul_naive,(13;5;1),13,5,19,19.817
matmul_naive,(12;5;1),12,6,20,19.904
matmul_naive,(14;5;2),13,7,19,19.934
matmul_naive,(12;5;1),12,5,20,19.935
matmul_naive,(14;5;2),13,6,19,19.935
matmul_naive,(14;6;3),12,5,20,19.942
matmul_naive,(14;5;2),13,5,19,19.952
matmul_naive,(13;5;2),12,6,20,20.065
matmul_naive,(13;5;2),12,5,20,20.097
matmul_naive,(14;5;3),12,6,20,20.203
matmul_naive,(14;5;3),12,5,20,20.235
matmul_naive,(15;7;1),14,6,18,35.349
matmul_naive,(15;7;1),14,7,18,35.349
matmul_naive,(15;7;1),14,5,18,35.354
matmul_naive,(14;7;1),13,6,19,35.404
matmul_naive,(14;7;1),13,5,19,35.421
matmul_naive,(14;7;0),14,6,18,35.442
matmul_naive,(14;7;0),14,7,18,35.442
matmul_naive,(14;7;0),14,5,18,35.447
matmul_naive,(14;6;0),14,6,18,35.449
matmul_naive,(14;6;0),14,7,18,35.449
matmul_naive,(14;6;0),14,8,18,35.449
matmul_naive,(14;6;0),14,5,18,35.454
matmul_naive,(15;6;1),14,6,18,35.462
matmul_naive,(15;6;1),14,7,18,35.462
matmul_naive,(15;6;1),14,8,18,35.462
matmul_naive,(15;6;1),14,5,18,35.468
matmul_naive,(13;7;1),12,5,20,35.503
matmul_naive,(14;6;1),13,7,19,35.538
matmul_naive,(14;6;1),13,6,19,35.539
matmul_naive,(14;6;1),13,5,19,35.556
matmul_naive,(15;7;2),13,6,19,35.587
matmul_naive,(15;7;2),13,5,19,35.604
matmul_naive,(13;6;1),12,6,20,35.616
matmul_naive,(13;6;1),12,5,20,35.648
matmul_naive,(13;6;0),13,7,19,35.667
matmul_naive,(13;6;0),13,6,19,35.668
matmul_naive,(14;7;2),12,5,20,35.684
matmul_naive,(13;6;0),13,5,19,35.686
matmul_naive,(14;5;0),14,6,18,35.688
matmul_naive,(14;5;0),14,7,18,35.688
matmul_naive,(14;5;0),14,8,18,35.688
matmul_naive,(14;5;0),14,9,18,35.688
matmul_naive,(14;5;0),14,5,18,35.693
matmul_naive,(15;6;2),13,7,19,35.706
matmul_naive,(15;6;2),13,6,19,35.707
matmul_naive,(15;6;2),13,5,19,35.725
matmul_naive,(15;5;1),14,6,18,35.728
matmul_naive,(15;5;1),14,7,18,35.728
matmul_naive,(15;5;1),14,8,18,35.728
matmul_naive,(15;5;1),14,9,18,35.728
matmul_naive,(15;5;1),14,5,18,35.734
matmul_naive,(13;7;0),13,6,19,35.772
