filename,(C;B;S),P,T,M,AAT
matmul_tiled,(14;7;2),14,5,18,2.741
matmul_tiled,(15;7;1),14,6,18,2.777
matmul_tiled,(15;7;1),14,7,18,2.777
matmul_tiled,(15;7;1),14,5,18,2.781
matmul_tiled,(14;6;2),14,6,18,2.814
matmul_tiled,(14;6;2),14,5,18,2.818
matmul_tiled,(15;7;2),14,6,18,2.827
matmul_tiled,(15;7;2),14,5,18,2.831
matmul_tiled,(15;6;1),14,6,18,2.850
matmul_tiled,(15;6;1),14,7,18,2.850
matmul_tiled,(15;6;1),14,8,18,2.850
matmul_tiled,(15;6;1),14,5,18,2.854
matmul_tiled,(13;6;2),13,5,19,2.899
matmul_tiled,(15;7;3),14,5,18,2.909
matmul_tiled,(14;7;2),13,5,19,2.909
matmul_tiled,(15;6;2),14,6,18,2.926
matmul_tiled,(15;6;2),14,7,18,2.926
matmul_tiled,(15;6;2),14,5,18,2.930
matmul_tiled,(14;7;1),14,6,18,2.939
matmul_tiled,(14;7;1),14,5,18,2.943
matmul_tiled,(14;6;3),14,5,18,2.944
matmul_tiled,(14;6;2),13,6,19,2.994
matmul_tiled,(14;5;2),14,6,18,3.004
matmul_tiled,(14;5;2),14,7,18,3.004
matmul_tiled,(15;6;3),14,6,18,3.005
matmul_tiled,(14;5;2),14,5,18,3.008
matmul_tiled,(15;6;3),14,5,18,3.009
matmul_tiled,(14;6;2),13,5,19,3.012
matmul_tiled,(14;6;1),14,6,18,3.015
matmul_tiled,(14;6;1),14,7,18,3.015
matmul_tiled,(14;6;1),14,5,18,3.019
matmul_tiled,(15;7;2),13,6,19,3.061
matmul_tiled,(15;7;2),13,5,19,3.079
matmul_tiled,(14;5;3),14,6,18,3.079
matmul_tiled,(13;5;2),13,6,19,3.083
matmul_tiled,(14;5;3),14,5,18,3.083
matmul_tiled,(15;7;3),13,5,19,3.085
matmul_tiled,(14;6;3),13,5,19,3.088
matmul_tiled,(13;5;2),13,5,19,3.102
matmul_tiled,(13;6;1),13,6,19,3.118
matmul_tiled,(14;7;1),13,6,19,3.128
matmul_tiled,(13;6;1),13,5,19,3.136
matmul_tiled,(15;6;4),14,5,18,3.144
matmul_tiled,(14;7;1),13,5,19,3.146
matmul_tiled,(13;7;1),13,5,19,3.157
matmul_tiled,(15;6;3),13,6,19,3.175
matmul_tiled,(13;5;3),13,5,19,3.185
matmul_tiled,(15;5;3),14,6,18,3.188
matmul_tiled,(15;5;3),14,7,18,3.188
matmul_tiled,(15;5;3),14,5,18,3.192
matmul_tiled,(15;6;3),13,5,19,3.194
matmul_tiled,(15;6;2),13,6,19,3.197
matmul_tiled,(15;6;2),13,7,19,3.197
matmul_tiled,(14;5;4),14,5,18,3.201
matmul_tiled,(15;5;2),14,6,18,3.213
matmul_tiled,(15;5;2),14,7,18,3.213
matmul_tiled,(15;5;2),14,8,18,3.213
matmul_tiled,(15;6;2),13,5,19,3.215
matmul_tiled,(15;5;2),14,5,18,3.217
matmul_tiled,(13;6;2),12,5,20,3.229
matmul_tiled,(15;5;1),14,6,18,3.232
matmul_tiled,(15;5;1),14,7,18,3.232
matmul_tiled,(15;5;1),14,8,18,3.232
matmul_tiled,(15;5;1),14,9,18,3.232
matmul_tiled,(14;6;1),13,7,19,3.234
matmul_tiled,(14;6;1),13,6,19,3.235
matmul_tiled,(15;5;1),14,5,18,3.236
matmul_tiled,(14;6;1),13,5,19,3.253
matmul_tiled,(14;5;3),13,6,19,3.266
matmul_tiled,(15;5;4),14,6,18,3.279
matmul_tiled,(14;5;2),13,7,19,3.281
matmul_tiled,(14;5;2),13,6,19,3.282
matmul_tiled,(15;5;4),14,5,18,3.283
matmul_tiled,(12;5;2),12,5,20,3.283
matmul_tiled,(14;5;3),13,5,19,3.284
matmul_tiled,(14;6;3),12,5,20,3.287
matmul_tiled,(15;6;4),13,5,19,3.288
matmul_tiled,(14;5;2),13,5,19,3.300
matmul_tiled,(15;7;3),12,5,20,3.367
matmul_tiled,(14;5;1),14,6,18,3.377
matmul_tiled,(14;5;1),14,7,18,3.377
matmul_tiled,(14;5;1),14,8,18,3.377
matmul_tiled,(13;5;3),12,5,20,3.378
matmul_tiled,(14;5;1),14,5,18,3.381
matmul_tiled,(14;5;4),13,5,19,3.384
matmul_tiled,(13;5;1),13,7,19,3.398
matmul_tiled,(14;7;2),12,5,20,3.398
matmul_tiled,(13;5;1),13,6,19,3.399
matmul_tiled,(15;5;5),14,5,18,3.401
matmul_tiled,(13;5;1),13,5,19,3.417
matmul_tiled,(15;5;3),13,7,19,3.449
matmul_tiled,(15;5;3),13,6,19,3.450
matmul_tiled,(15;5;4),13,6,19,3.464
matmul_tiled,(15;5;3),13,5,19,3.468
matmul_tiled,(15;6;4),12,5,20,3.468
matmul_tiled,(15;6;3),12,6,20,3.478
matmul_tiled,(15;5;4),13,5,19,3.482
matmul_tiled,(15;6;3),12,5,20,3.510
matmul_tiled,(14;6;2),12,6,20,3.520
matmul_tiled,(13;5;2),12,6,20,3.545
matmul_tiled,(14;6;2),12,5,20,3.552
matmul_tiled,(14;5;4),12,5,20,3.560
matmul_tiled,(14;5;3),12,6,20,3.562
matmul_tiled,(13;5;2),12,5,20,3.577
matmul_tiled,(15;5;5),13,5,19,3.584
matmul_tiled,(14;5;3),12,5,20,3.594
matmul_tiled,(15;5;2),13,7,19,3.657
matmul_tiled,(15;5;2),13,8,19,3.657
matmul_tiled,(15;5;2),13,6,19,3.658
matmul_tiled,(15;5;2),13,5,19,3.676
matmul_tiled,(15;5;4),12,6,20,3.727
matmul_tiled,(14;5;1),13,7,19,3.740
matmul_tiled,(14;5;1),13,8,19,3.740
matmul_tiled,(14;5;1),13,6,19,3.741
matmul_tiled,(15;5;4),12,5,20,3.759
matmul_tiled,(15;5;5),12,5,20,3.759
matmul_tiled,(14;5;1),13,5,19,3.759
matmul_tiled,(15;5;3),12,7,20,3.959
matmul_tiled,(15;5;3),12,6,20,3.965
matmul_tiled,(15;5;3),12,5,20,3.997
matmul_tiled,(14;5;2),12,7,20,4.076
matmul_tiled,(14;5;2),12,6,20,4.082
matmul_tiled,(14;6;0),14,6,18,4.108
matmul_tiled,(14;6;0),14,7,18,4.108
matmul_tiled,(14;6;0),14,8,18,4.108
matmul_tiled,(14;6;0),14,5,18,4.112
matmul_tiled,(14;5;2),12,5,20,4.114
matmul_tiled,(14;5;0),14,6,18,4.216
matmul_tiled,(14;5;0),14,7,18,4.216
matmul_tiled,(14;5;0),14,8,18,4.216
matmul_tiled,(14;5;0),14,9,18,4.216
matmul_tiled,(14;5;0),14,5,18,4.220
matmul_tiled,(14;7;0),14,6,18,5.159
matmul_tiled,(14;7;0),14,7,18,5.159
matmul_tiled,(14;7;0),14,5,18,5.163
matmul_tiled,(13;6;0),13,7,19,5.730
matmul_tiled,(13;6;0),13,6,19,5.731
matmul_tiled,(13;6;0),13,5,19,5.749
matmul_tiled,(13;5;0),13,7,19,5.759
matmul_tiled,(13;5;0),13,8,19,5.759
matmul_tiled,(13;5;0),13,6,19,5.760
matmul_tiled,(13;5;0),13,5,19,5.778
matmul_tiled,(13;5;1),12,7,20,6.548
matmul_tiled,(13;5;1),12,6,20,6.554
matmul_tiled,(13;5;1),12,5,20,6.586
matmul_tiled,(13;6;1),12,6,20,6.596
matmul_tiled,(13;6;1),12,5,20,6.628
matmul_tiled,(13;7;0),13,6,19,7.027
matmul_tiled,(13;7;0),13,5,19,7.045
matmul_tiled,(13;7;1),12,5,20,8.244
matmul_tiled,(12;5;1),12,6,20,10.889
matmul_tiled,(12;5;1),12,5,20,10.921
matmul_tiled,(12;6;1),12,5,20,11.112
matmul_tiled,(12;6;0),12,6,20,51.263
matmul_tiled,(12;5;0),12,7,20,51.287
matmul_tiled,(12;5;0),12,6,20,51.293
matmul_tiled,(12;6;0),12,5,20,51.295
matmul_tiled,(12;5;0),12,5,20,51.325
matmul_tiled,(12;7;0),12,5,20,52.169
