filename,(C;B;S),P,T,M,AAT
mcf,(15;7;1),14,7,18,4.145
mcf,(15;7;1),14,6,18,4.310
mcf,(15;7;1),14,5,18,4.320
mcf,(15;7;2),14,6,18,4.460
mcf,(15;7;2),14,5,18,4.471
mcf,(14;7;1),14,6,18,4.541
mcf,(14;7;1),14,5,18,4.551
mcf,(15;6;1),14,8,18,4.609
mcf,(15;7;3),14,5,18,4.665
mcf,(15;6;1),14,7,18,4.671
mcf,(14;7;2),14,5,18,4.823
mcf,(15;6;1),14,6,18,4.836
mcf,(15;6;2),14,7,18,4.843
mcf,(15;6;1),14,5,18,4.847
mcf,(14;6;1),14,7,18,4.879
mcf,(14;6;3),14,5,18,4.910
mcf,(15;6;2),14,6,18,5.007
mcf,(15;6;2),14,5,18,5.018
mcf,(14;6;2),14,6,18,5.022
mcf,(14;6;2),14,5,18,5.032
mcf,(14;6;1),14,6,18,5.044
mcf,(14;6;1),14,5,18,5.055
mcf,(15;6;4),14,5,18,5.109
mcf,(15;6;3),14,6,18,5.202
mcf,(15;6;3),14,5,18,5.213
mcf,(15;7;2),13,6,19,5.278
mcf,(15;7;2),13,5,19,5.289
mcf,(14;7;1),13,6,19,5.292
mcf,(14;7;1),13,5,19,5.302
mcf,(15;5;1),14,8,18,5.447
mcf,(15;5;1),14,9,18,5.447
mcf,(14;5;1),14,8,18,5.464
mcf,(15;7;3),13,5,19,5.488
mcf,(15;5;1),14,7,18,5.509
mcf,(14;5;3),14,6,18,5.513
mcf,(14;5;3),14,5,18,5.523
mcf,(14;5;1),14,7,18,5.526
mcf,(14;7;2),13,5,19,5.569
mcf,(15;5;2),14,8,18,5.625
mcf,(14;5;4),14,5,18,5.646
mcf,(13;6;2),13,5,19,5.665
mcf,(15;5;1),14,6,18,5.674
mcf,(15;5;1),14,5,18,5.684
mcf,(14;5;2),14,7,18,5.686
mcf,(15;5;2),14,7,18,5.687
mcf,(14;5;1),14,6,18,5.691
mcf,(14;5;1),14,5,18,5.702
mcf,(15;5;4),14,6,18,5.712
mcf,(14;7;0),14,7,18,5.712
mcf,(15;5;4),14,5,18,5.723
mcf,(14;6;3),13,5,19,5.826
mcf,(15;5;5),14,5,18,5.846
mcf,(14;5;2),14,6,18,5.850
mcf,(15;5;2),14,6,18,5.852
mcf,(14;5;2),14,5,18,5.861
mcf,(15;5;2),14,5,18,5.862
mcf,(14;6;0),14,8,18,5.875
mcf,(14;7;0),14,6,18,5.877
mcf,(15;5;3),14,7,18,5.883
mcf,(14;7;0),14,5,18,5.887
mcf,(14;6;1),13,7,19,5.912
mcf,(15;6;2),13,7,19,5.936
mcf,(14;6;0),14,7,18,5.937
mcf,(15;6;4),13,5,19,6.026
mcf,(15;5;3),14,6,18,6.048
mcf,(15;5;3),14,5,18,6.059
mcf,(14;6;1),13,6,19,6.062
mcf,(15;7;3),12,5,20,6.068
mcf,(14;6;1),13,5,19,6.073
mcf,(15;6;2),13,6,19,6.086
mcf,(13;7;1),13,5,19,6.088
mcf,(14;7;2),12,5,20,6.095
mcf,(15;6;2),13,5,19,6.096
mcf,(14;6;2),13,6,19,6.102
mcf,(14;6;0),14,6,18,6.102
mcf,(14;6;0),14,5,18,6.112
mcf,(14;6;2),13,5,19,6.113
mcf,(15;6;3),13,6,19,6.285
mcf,(15;6;3),13,5,19,6.296
mcf,(14;5;0),14,8,18,6.441
mcf,(14;5;0),14,9,18,6.441
mcf,(13;5;2),13,6,19,6.485
mcf,(13;5;2),13,5,19,6.495
mcf,(14;5;0),14,7,18,6.503
mcf,(13;7;1),12,5,20,6.507
mcf,(13;5;3),13,5,19,6.578
mcf,(14;5;0),14,6,18,6.668
mcf,(14;5;0),14,5,18,6.678
mcf,(14;5;3),13,6,19,6.681
mcf,(14;5;3),13,5,19,6.691
mcf,(14;5;4),13,5,19,6.777
mcf,(13;6;1),13,6,19,6.808
mcf,(13;6;1),13,5,19,6.819
mcf,(14;6;2),12,6,20,6.866
